filename,width,height,class,xmin,ymin,xmax,ymax
orijordan163_jpg.rf.2781e2de61d34862c1c003c3b42f4956.jpg,640,640,ori jordan 1,315,47,640,581
orijordan163_jpg.rf.2781e2de61d34862c1c003c3b42f4956.jpg,640,640,ori jordan 1,0,54,332,592
fakejordan170_jpg.rf.25c701c19e7624d2ccc0ec8e1867def2.jpg,640,640,fake jordan 1,12,91,362,476
fakejordan170_jpg.rf.25c701c19e7624d2ccc0ec8e1867def2.jpg,640,640,fake jordan 1,183,92,548,633
orijordan122_jpg.rf.277dabe5fe20ba579a80bb3d62c8ab7e.jpg,640,640,ori jordan 1,135,308,330,588
orijordan122_jpg.rf.277dabe5fe20ba579a80bb3d62c8ab7e.jpg,640,640,ori jordan 1,290,283,525,466
Snapinsta-app_245808654_277625530920114_1143945680386355271_n_1080_jpg.rf.25ee8cb62d48b7501a9b9d4e629223f9.jpg,640,640,fake jordan 1,14,178,629,596
Snapinsta-app_245808654_277625530920114_1143945680386355271_n_1080_jpg.rf.25ee8cb62d48b7501a9b9d4e629223f9.jpg,640,640,fake jordan 1,13,0,576,384
fakejordan142_jpg.rf.2778e7275848ff070dd05e4b916bb761.jpg,640,640,fake jordan 1,286,159,508,395
fakejordan142_jpg.rf.2778e7275848ff070dd05e4b916bb761.jpg,640,640,fake jordan 1,59,167,303,398
orijordan42_jpg.rf.25ebd6e76bc929772fce56624a4231e6.jpg,640,640,ori jordan 1,12,109,633,445
orijordan42_jpg.rf.25ebd6e76bc929772fce56624a4231e6.jpg,640,640,ori jordan 1,0,240,640,560
fake122_jpg.rf.2750cde6227edd1476c7ca2b63dd69bf.jpg,640,640,fake air force,109,158,457,526
fake108_jpg.rf.261ade812c7ea72699e1635a2706652c.jpg,640,640,fake air force,206,18,534,494
orijordan83_jpg.rf.26c86db7197cb1f0ecacb10a54dc3f89.jpg,640,640,ori jordan 1,106,188,559,593
orijordan83_jpg.rf.26c86db7197cb1f0ecacb10a54dc3f89.jpg,640,640,ori jordan 1,43,0,610,552
Snapinsta_app_video_323804722_3487920708109066_8856991948755599329_n_mp4-13_jpg.rf.26ca15d012a720effce4766ffdd56148.jpg,640,640,fake air force,53,0,548,640
fake66_jpg.rf.269b7edf226f1a7b1bc210f27c05c077.jpg,640,640,fake air force,0,94,618,604
fake66_jpg.rf.269b7edf226f1a7b1bc210f27c05c077.jpg,640,640,fake air force,0,193,557,640
fake206_jpg.rf.2616029bcf3f6d18769795da1ac3f11a.jpg,640,640,fake air force,20,0,640,640
ori268_jpg.rf.271236c374ef3cdf2f13e15226fa6404.jpg,640,640,ori air force,0,4,485,547
ori268_jpg.rf.271236c374ef3cdf2f13e15226fa6404.jpg,640,640,ori air force,131,122,640,640
Snapinsta-app_296058692_998728320736555_7220214205611013602_n_1080_jpg.rf.273a3cc24ab50484cb82344c949bb1ce.jpg,640,640,fake air force,49,226,469,605
Snapinsta-app_296058692_998728320736555_7220214205611013602_n_1080_jpg.rf.273a3cc24ab50484cb82344c949bb1ce.jpg,640,640,fake air force,144,62,595,468
ori249_jpg.rf.25cc1ae9f53a5d5e87f33b47ec9f34f1.jpg,640,640,ori air force,3,75,640,537
ori199_jpg.rf.25df569032d2813fa2f3aeab5cdea834.jpg,640,640,ori air force,102,0,640,485
ori199_jpg.rf.25df569032d2813fa2f3aeab5cdea834.jpg,640,640,ori air force,0,92,551,640
Snapinsta-app_362914500_1591952907998940_1322958966191603207_n_1080_jpg.rf.261cf3490c850bae6ad0cd941113e3c5.jpg,640,640,fake air force,62,146,317,500
